北京,北京市,010
上海,上海市,021
天津,天津市,022
重庆,重庆市,023
河北,邯郸市,0310
河北,石家庄,0311
河北,保定市,0312
河北,张家口,0313
河北,承德市,0314
河北,唐山市,0315
河北,廊坊市,0316
河北,沧州市,0317
河北,衡水市,0318
河北,邢台市,0319
河北,秦皇岛,0335
浙江,衢州市,0570
浙江,杭州市,0571
浙江,湖州市,0572
浙江,嘉兴市,0573
浙江,宁波市,0574
浙江,绍兴市,0575
浙江,台州市,0576
浙江,温州市,0577
浙江,丽水市,0578
浙江,金华市,0579
浙江,舟山市,0580
辽宁,沈阳市,024
辽宁,铁岭市,0410
辽宁,大连市,0411
辽宁,鞍山市,0412
辽宁,抚顺市,0413
辽宁,本溪市,0414
辽宁,丹东市,0415
辽宁,锦州市,0416
辽宁,营口市,0417
辽宁,阜新市,0418
辽宁,辽阳市,0419
辽宁,朝阳市,0421
辽宁,盘锦市,0427
辽宁,葫芦岛,0429
辽宁,铁法市,0410
辽宁,锦西市,0429
辽宁,长海市,011
辽宁,兴城市,0429
辽宁,海城市,0412
辽宁,北票市,0421
辽宁,盘锦市,0427
辽宁,瓦房店市,0411
湖北,武汉市,027
湖北,襄城市|襄阳,0710
湖北,鄂州市,0711
湖北,孝感市,0712
湖北,黄冈市,0713
湖北,黄石市,0714
湖北,咸宁市,0715
湖北,荆沙市|荆州,0716
湖北,宜昌市,0717
湖北,恩施市,0718
湖北,十堰市,0719
湖北,随州市,0722
湖北,荆门市,0724
湖北,江汉市,0728
湖北,天门市,0728
江苏,南京市,025
江苏,无锡市,0510
江苏,镇江市,0511
江苏,苏州市,0512
江苏,南通市,0513
江苏,扬州市,0514
江苏,盐城市|建湖,0515
江苏,徐州市,0516
江苏,淮阴市,0517
江苏,淮安市,0517
江苏,连云港,0518
江苏,常州市,0519
江苏,泰州市,0523
江苏,宿迁市,0527
内蒙古,呼伦贝尔,0470
内蒙古,呼和浩特,0471
内蒙古,包头市,0472
内蒙古,乌海市,0473
内蒙古,乌兰察布,0474
内蒙古,通辽市,0475
内蒙古,赤峰市,0476
内蒙古,鄂尔多斯,0477
内蒙古,巴彦卓尔|巴彦淖尔,0478
内蒙古,锡林郭勒,0479
内蒙古,乌兰浩特|兴安盟,0482
内蒙古,阿拉善左旗|阿拉善盟,0483
江西,新余市,0790
江西,南昌市,0791
江西,九江市,0792
江西,上饶市,0793
江西,抚州市,0794
江西,宜春市,0795
江西,吉安市,0796
江西,赣州市,0797
江西,景德镇,0798
江西,萍乡市,0799
江西,鹰潭市,0701
山西,忻州市,0350
山西,太原市,0351
山西,大同市,0352
山西,阳泉市,0353
山西,晋中市,0354
山西,长治市,0355
山西,晋城市,0356
山西,临汾市,0357
山西,吕梁,0358
山西,运城市,0359
山西,朔州,0349
